,width,height,new_filename
0,2048,1365,son_topleft.jpg
1,2200,1100,son_topright.jpg
2,2048,1152,son_bottomleft.jpg
3,1028,579,son_bottomright.jpg
4,1666,2048,messi_topleft.jpg
5,2000,1123,messi_topright.jpg
6,297,170,messi_bottomleft.jpg
7,200,403,messi_bottomright.jpg
8,1200,800,Kane_topleft.jpg
9,300,168,Kane_topright.jpg
10,2048,1365,Kane_bottomleft.jpg
11,2200,1100,Kane_bottomright.jpg
12,2048,1152,lewandowski_topleft.jpg
13,1028,579,lewandowski_topright.jpg
14,1666,2048,lewandowski_bottomleft.jpg
15,2000,1123,lewandowski_bottomright.jpg
16,297,170,puyol_topleft.jpg
17,200,403,puyol_topright.jpg
18,1200,800,puyol_bottomleft.jpg
19,300,168,puyol_bottomright.jpg
20,2048,1365,xavi_topleft.jpg
21,2048,1365,xavi_topright.jpg
22,2200,1100,xavi_bottomleft.jpg
23,2048,1152,xavi_bottomright.jpg
24,1028,579,zidane_topleft.jpg
25,1666,2048,zidane_topright.jpg
26,2000,1123,zidane_bottomleft.jpg
27,297,170,zidane_bottomright.jpg
28,200,403,cr7_topleft.jpg
29,1200,800,cr7_topright.jpg
30,300,168,cr7_bottomleft.jpg
31,2048,1365,cr7_bottomright.jpg
32,2200,1100,iniesta_topleft.jpg
33,2048,1152,iniesta_topright.jpg
34,1028,579,iniesta_bottomleft.jpg
35,1666,2048,iniesta_bottomright.jpg
36,2000,1123,neymar_topleft.jpg
37,297,170,neymar_topright.jpg
38,200,403,neymar_bottomleft.jpg
39,1200,800,neymar_bottomright.jpg
40,300,168,son_topleft.jpg
